model,seed,QTLs,current_fitness,future_fitness,causal_offset,causal_confounded_offset,empirical_offset,empirical_confounded_offset,causal_random_1_offset,causal_random_6_offset,causal_random_11_offset,causal_random_16_offset,causal_random_21_offset,causal_random_26_offset,causal_random_31_offset,causal_random_36_offset,causal_random_41_offset,causal_random_46_offset,causal_random_51_offset,causal_random_61_offset,causal_random_66_offset,causal_random_56_offset
m4.1,s100,100,0.984853,0.908072,0.17039878405354464,0.13286447766987966,0.1964430005690651,0.13286447766987966,0.09620977222970478,0.10874422320931972,0.13351807829368864,0.21319095198764848,0.1614733245663475,0.5452707976167602,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.996383,0.978339,0.03919130861860118,0.13816189550465213,0.04518141548972002,0.13816189550465213,0.022352622452487734,0.029429102770783595,0.04354286488870608,0.18312466458875792,0.15190089272898974,0.19413519461237297,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.99975,0.909109,0.0775803794310458,0.19757340860462513,0.08943797695136307,0.19757340860462513,0.04288361213574762,0.06108708209670595,0.07709330458698178,0.15642599462306256,0.17535512300380884,0.31972142455121366,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.999904,0.573529,0.48964163831650337,0.3406562448667237,0.564479806406494,0.3406562448667237,0.27133320037947567,0.2813367732714326,0.3326365651249559,0.5166380510240339,0.48304669006799755,0.6759156074253287,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.987086,0.801466,0.11489030038571396,0.16654332086987383,0.13245044833746503,0.16654332086987383,0.06708001280046402,0.06588378056644892,0.08760739397201311,0.11645595201614385,0.1265061909129168,0.3012749337590388,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.985381,0.99517,0.0024238980494058053,0.0023078190639888667,0.002794373261191563,0.0023078190639888667,0.00482002009705604,0.024222706014332487,0.030012191309676958,0.06065649109586848,0.04241083656896005,0.08497164621534037,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.998364,0.984517,0.0064497630865432785,0.02457105453784256,0.007435562528908786,0.02457105453784256,0.0050281767295625905,0.029295261549751567,0.033832150128455724,0.10237292279660715,0.14102901937683934,0.18411973480317553,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.99888,0.756998,0.2847215216502293,0.10919760350079846,0.3282391382674751,0.10919760350079846,0.15734746558213297,0.17379258311841606,0.24312491979504938,0.4852063061657976,0.3380118665025189,0.5396314762480694,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.996782,0.984964,0.029256372269932992,0.2345234458814724,0.03372799627880722,0.2345234458814724,0.01841244637059819,0.031306900289533125,0.04232751413608868,0.0721480885846468,0.06329755379884001,0.17419279363952916,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.969013,0.436654,0.48571775516191606,0.3046197225150273,0.5599561862113679,0.3046197225150273,0.2693818684042363,0.28372870325046323,0.3425174312344635,0.5609661362593954,0.39455952492401447,0.9310691607639066,NA,NA,NA,NA,NA,NA,NA,NA
