model,seed,QTLs,fst,mobility,current_fitness,future_fitness,causal_offset,causal_confounded_offset,empirical_confounded_offset,empirical_offset
m4.2,s100,100,0.35433033459485114,0.186255,0.994881,0.822018,0.04131547484911416,0.04615645369497635,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999801,0.915988,0.023882701090984813,0.04848609963018297,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999857,0.90393,0.03263220911546608,0.03447842936721881,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.975365,0.995386,0.002426794982853795,0.03143453422461332,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.957083,0.962203,0.049393986571932204,0.0437014328541521,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.988228,0.80564499999999994,0.03804051868950325,0.03325492692775155,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.983171,0.999314,0.003250928005406412,0.018341634006143387,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.998693,0.997017,1.0265431279503033e-4,0.003515470414230841,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.996852,0.892739,0.023640532066085174,0.024122668352626078,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.983921,0.976319,0.023882701090984813,0.04848609963018297,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.986603,0.999855,0.003250928005406412,0.018341634006143387,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.980476,0.836413,0.02390114106516955,0.0214601715874762,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999512,0.955726,0.016554064054764606,0.041631399891641094,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.980408,0.999968,0.0064251341848591565,0.03074623285365645,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.995855,0.993144,1.0265431279503033e-4,0.003515470414230841,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.992707,0.952545,0.028104946992546127,0.03874366927696746,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999857,0.90393,0.03263220911546608,0.03447842936721881,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.995157,0.941074,0.02998470335978897,0.05029839513303877,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.993784,0.940917,0.03183843863930951,0.028592522934760056,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.998443,0.99711,6.158103887306157e-5,0.01219526094477794,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.996505,0.880893,0.05174664708315324,0.060535994748159384,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.992767,0.923902,0.04031200904668666,0.0480931601425913,NA,NA
