model,seed,QTLs,current_fitness,future_fitness,causal_offset,empirical_offset,empirical_putative,incomplete_offset,only_QTL1_offset,only_QTL2_offset,random_offset,random_putative,env_dist
m3.3,s100,100,0.994927,0.95471,0.05067499699802622,0.012852282355781284,0.042268116824850856,0.03490856428244595,0.025103297728446192,0.024211984085719916,0.02268086161979275,0,20.181360297334457
m3.3,s100,100,0.991308,0.938436,0.07098790494999813,0.015466145425133094,0.052644979707085836,0.04133793960266288,0.02283583726474794,0.026486112318645148,0.021922179418606507,0,20.181360297334457
m3.3,s100,100,0.933244,0.971328,0.049721821626742976,0.010516623043894795,0.03825792165311619,0.02260579213153378,0.01583954663150145,0.016054542697802012,0.013633011176211757,0,20.181360297334457
m3.3,s100,100,0.982221,0.978253,0.06521325770116011,0.011327594260460228,0.04118904935800626,0.024274139316305673,0.014262306510106576,0.017050976263680934,0.013432350047286252,0,20.181360297334457
m3.3,s100,100,0.931612,0.973321,0.14197170582505234,0.026697956205177068,0.12441724285231628,0.06058432063617832,0.053783755863617846,0.04678655891503286,0.04396049169615141,0,20.181360297334457
m3.3,s100,100,0.945142,0.957474,0.031148036083233712,0.016245607295615704,0.03988224242149328,0.06206025697198535,0.04671355455032021,0.04619292626040616,0.04580903260407415,0,20.181360297334457
m3.3,s100,100,0.987626,0.895446,0.08185935859101075,0.01503314558266453,0.06444241957988969,0.027589547783782628,0.023042698666716578,0.01885322257240976,0.017075559858326997,0,20.181360297334457
m3.3,s100,100,0.966328,0.997054,0.031148036083233712,0.004995575296845107,0.021301875685791907,0.007936281030049987,0.0037936679001974367,0.0042571866768604276,0.002429251586106877,0,20.181360297334457
m3.3,s100,100,0.984445,0.903526,0.08006409525679341,0.013589543052036301,0.06575342802935763,0.021677665597759074,0.020372294624521062,0.015391032350952176,0.014006595376544109,0,20.181360297334457
m3.3,s100,100,0.931769,0.986818,0.07339885575232788,0.015281806406845315,0.04167460612139633,0.035035497617977335,0.030614742778984988,0.0333330886202255,0.028012670763929815,0,20.181360297334457
m3.3,s100,100,0.896859,0.924989,0.06021291073200809,0.019710394844555314,0.05328543609435954,0.06579274975825831,0.04033925159650536,0.04376172562514605,0.04012081758582007,0,20.181360297334457
m3.3,s100,100,0.999808,0.913856,0.07332201448219282,0.016033527520630815,0.0693906916223354,0.03855366829180474,0.039734724580484264,0.03365964285916113,0.03354477956414905,0,20.181360297334457
m3.3,s100,100,0.964555,0.927567,0.012551000820187126,0.008382302694786525,0.0200841444624616,0.03311480771449613,0.03267875083464362,0.03217252579122241,0.033009544442134324,0,20.181360297334457
m3.3,s100,100,0.862315,0.89708,0.08740151604956886,0.014138994505882393,0.05973154089647076,0.026432064733065974,0.019098539881982526,0.019720935280318968,0.016403973992623732,0,20.181360297334457
m3.3,s100,100,0.996119,0.876771,0.1142529650321607,0.021937084226512332,0.07183181536336258,0.049922834775550755,0.022857427979884506,0.028859636138188833,0.02098486936900288,0,20.181360297334457
m3.3,s100,100,0.988274,0.847716,0.1142529650321607,0.020419739451508018,0.06363496390676,0.03959253448931378,0.021533764351377833,0.026778308866992392,0.018228334299782913,0,20.181360297334457
m3.3,s100,100,0.957608,0.969974,0.11835068433238363,0.018038637206554062,0.08987092853852352,0.024991025058947625,0.019289135625113647,0.015474695590600933,0.011442604258092268,0,20.181360297334457
m3.3,s100,100,0.966063,0.994238,0.08050458038198466,0.02281273824431556,0.07119405392023456,0.062075235384420356,0.03749454158581178,0.03732104265187294,0.034094516204457914,0,20.181360297334457
m3.3,s100,100,0.967223,0.994124,0.08050458038198466,0.018331182012513044,0.06086998499673145,0.042480029068312726,0.04041931433681422,0.03823441561963731,0.035273353711569436,0,20.181360297334457
m3.3,s100,100,0.967836,0.932552,0.012551000820187126,0.0021553989981057437,0.00901521875218484,0.004045706248397841,0.0033058649693015205,0.003217991083975245,0.0028626998145384096,0,20.181360297334457
m3.3,s100,100,0.996134,0.884319,0.057929449387262286,0.011835897327019188,0.04520263267580452,0.023346772816505434,0.018496169929819478,0.016110226516543435,0.015148454318824217,0,20.181360297334457
m3.3,s100,100,0.962721,0.854015,0.051510114972712864,0.007236198023495297,0.036157298395872464,0.010055166483484064,0.009280664290930907,0.007557181229729983,0.005967099750564518,0,20.181360297334457
m3.3,s100,100,0.994093,0.877982,0.06977181897310142,0.009889675537508327,0.04826119428739294,0.012119938946149891,0.009267657393233835,0.007642179198794894,0.005552952534206675,0,20.181360297334457
m3.3,s100,100,0.994028,0.948097,0.019955692456667493,0.004256374351329623,0.014111203289329279,0.010347081049470517,0.009815188709088178,0.009485497052114414,0.008638547012627344,0,20.181360297334457
m3.3,s100,100,0.991211,0.941484,0.07098790494999813,0.013045634545972934,0.041648289415668845,0.025394313275794483,0.01134014132510341,0.015461713599475386,0.009618596746761895,0,20.181360297334457
m3.3,s100,100,0.976003,0.984038,0.06946521705583576,0.012646666918542993,0.037210320342841205,0.02276678873203846,0.0176039418916341,0.020025367175429944,0.015568390526642717,0,20.181360297334457
m3.3,s100,100,0.996668,0.944718,0.05067499699802622,0.007343143999591355,0.03151882887332925,0.010927415688317113,0.009153701828879953,0.008780152842768642,0.006458884054936549,0,20.181360297334457
m3.3,s100,100,0.95512,0.958938,0.049721821626742976,0.012151750118550545,0.0487886314982141,0.03506321757683353,0.031134727182533184,0.02898289995997318,0.02826622589212036,0,20.181360297334457
m3.3,s100,100,0.958813,0.901129,0.10710328444719809,0.018146866418203636,0.08003619207274444,0.03749872033732078,0.038078521886565,0.03365300565891093,0.030758365774087974,0,20.181360297334457
m3.3,s100,100,0.962564,0.913786,0.062162799788285324,0.010914859997299882,0.039108794463496604,0.02046658360273509,0.007617949717764378,0.010626430152535631,0.0059666874125418315,0,20.181360297334457
m3.3,s100,100,0.997185,0.97334,0.04200693101251443,0.015187301799851213,0.04468927623223554,0.040730430897711854,0.04022802500750932,0.03436699120886122,0.03566533010078429,0,20.181360297334457
m3.3,s100,100,0.978117,0.858891,0.07287001578621151,0.01306809416782033,0.05744303445151775,0.026134839847457698,0.015078561767786096,0.014434887809551303,0.011327269191250745,0,20.181360297334457
m3.3,s100,100,0.986229,0.9911,0.02884857110507769,0.008513532330398461,0.02785521041636337,0.028323519208802904,0.02483455191773227,0.02436691951244758,0.023831437938512345,0,20.181360297334457
m3.3,s100,100,0.965081,0.916255,0.062162799788285324,0.010649988843634226,0.03614056225241057,0.018932554169643456,0.01161964710759668,0.014194103230519253,0.009568771692471145,0,20.181360297334457
m3.3,s100,100,0.937772,0.713058,0.12113009127196882,0.01733130786894293,0.09135014059834799,0.021902361162201577,0.01454102818375505,0.010934688403446132,0.006817349934729474,0,20.181360297334457
m3.3,s100,100,0.910349,0.933689,0.09938181807051377,0.017457095630095367,0.07386259657960324,0.0335700444110968,0.016477803262791475,0.017467736621945937,0.012174076903210594,0,20.181360297334457
m3.3,s100,100,0.983346,0.870188,0.07287001578621151,0.012682277642350344,0.053670535121849466,0.022125328419134827,0.018460242489074127,0.017045172872962738,0.01401449803496875,0,20.181360297334457
m3.3,s100,100,0.992014,0.963157,0.019955692456667493,0.004659108464986571,0.014060252029971285,0.013450872169287288,0.013981585623151938,0.01371630201702443,0.012855599978401125,0,20.181360297334457
m3.3,s100,100,0.978811,0.917548,0.037015182020808626,0.008094708750726808,0.02937997699948656,0.019459651792632423,0.01919316842457368,0.017466685191904734,0.01652999728315814,0,20.181360297334457
m3.3,s100,100,0.990434,0.787947,0.09922902568312081,0.020439294702403445,0.07423794038313049,0.039263583438031505,0.03350402270773785,0.02982148208831199,0.02847904343853743,0,20.181360297334457
m3.3,s100,100,0.9978,0.818401,0.10924706574780746,0.015676803757545675,0.08207951415802985,0.020001478586690342,0.017063172889232703,0.012225463785585356,0.009377748967246483,0,20.181360297334457
m3.3,s100,100,0.978134,0.898807,0.03848824335982894,0.006949285583450385,0.027582344344238553,0.01331374596830098,0.008983538717589138,0.008345850964658045,0.0068887229545277805,0,20.181360297334457
m3.3,s100,100,0.999437,0.986138,0.015262854909684048,0.003069084240662066,0.01343173987584151,0.007612998468457055,0.006080913662983058,0.005543763682469513,0.0051492572125620565,0,20.181360297334457
m3.3,s100,100,0.965896,0.832223,0.09789154355039861,0.014382337121125723,0.050199072804401376,0.020158276126220915,0.014382102470504598,0.01713091094752878,0.01142514901010995,0,20.181360297334457
m3.3,s100,100,0.991054,0.964483,0.06521325770116011,0.009799524732245136,0.036958442520437784,0.015827484619586104,0.00800343798718061,0.010583605880418716,0.006740688746111972,0,20.181360297334457
m3.3,s100,100,0.99962,0.907915,0.07332201448219282,0.011098034207529302,0.055952462880158524,0.016202270120745623,0.01324785171233739,0.01075560416557967,0.00852300703121447,0,20.181360297334457
m3.3,s100,100,0.993264,0.791836,0.10924706574780746,0.020860904911364306,0.08767066675233107,0.04618076020922914,0.04025398493648441,0.03826433341889347,0.03546370215878359,0,20.181360297334457
m3.3,s100,100,0.999675,0.983531,0.015262854909684048,0.004004300116718346,0.015737973600492908,0.012493340779729308,0.011606907384874039,0.010739431871576924,0.01062462929149427,0,20.181360297334457
m3.3,s100,100,0.99577,0.963918,0.0684289400237243,0.011468148951196891,0.04514588153904798,0.019381103661127306,0.009606496664545655,0.011356947373105622,0.006883765564116523,0,20.181360297334457
m3.3,s100,100,0.970053,0.87226,0.08492383285337393,0.01430254716795038,0.04988302791504442,0.027128944503196046,0.011184372262758402,0.016142573916464804,0.009901122190185366,0,20.181360297334457
m3.3,s100,100,0.949124,0.951225,8.570421937199658e-4,5.270852478492216e-4,0.0012912282822683785,0.002250327841913117,0.002195676383727711,0.0021847887797147637,0.0022005009533215703,0,20.181360297334457
m3.3,s100,100,0.988576,0.978697,0.07972618569600594,0.014230760585294808,0.047894921931901695,0.02982380230549044,0.011617155013908325,0.016745526699826794,0.010653587534377158,0,20.181360297334457
m3.3,s100,100,0.943781,0.987552,0.07339885575232788,0.012140420048443385,0.04322534226212035,0.021066510621564474,0.007882074943638831,0.011717430623621442,0.006078482947393748,0,20.181360297334457
m3.3,s100,100,0.999853,0.862069,0.1156170715931556,0.018655448118146453,0.06980779162474617,0.03419619310585403,0.02086314048255613,0.024879106095872343,0.018871652767340368,0,20.181360297334457
m3.3,s100,100,0.992822,0.906565,0.06977181897310142,0.009144796830941458,0.047879738548396236,0.00968130760055332,0.00744339195045814,0.005611220633086354,0.0033572589986444407,0,20.181360297334457
m3.3,s100,100,0.915177,0.742801,0.11358509701735449,0.015517938939161284,0.07862879765381378,0.01890401252868884,0.013493237049847371,0.010834703719517513,0.00691471991625599,0,20.181360297334457
