seed,QTLs,Method,scenario,shifted_fitness,offset_causal,offset_empirical,offset_incomplete,offset_only_QTL1,offset_only_QTL2
s100,100,Geometric GO,Local adaptation,0.969783,0.008035422809985843,9.959628646679796e-4,0.01143398536065716,0.007640081694486243,0.0018352243157663184
s100,100,Geometric GO,Local adaptation,0.759448,0.11446503633694557,0.014145352399054645,0.009517304482562137,0.00470360073589947,0.012271859070719503
s100,100,Geometric GO,Local adaptation,0.844018,0.13496712197155328,0.023442524837711125,0.0121160563298869,0.019218494036380155,0.012232913348399104
s100,100,Geometric GO,Local adaptation,0.951617,0.04863149367189863,0.0070908588365499944,0.007555859696801267,0.0033826689040623373,0.006483312974686284
s100,100,Geometric GO,Local adaptation,0.686865,0.07496953187304549,0.009398446316626619,0.009771180240145184,0.0062524869300855405,0.014546968269261122
s100,100,Geometric GO,Local adaptation,0.89234,0.060630705704959265,0.007626268785576153,0.006021391964405909,0.00860237959401633,0.007424293833432998
s100,100,Geometric GO,Local adaptation,0.820491,0.09704961250064419,0.02543625312409384,0.010803132661509476,0.008113779957461585,0.014947382846310898
s100,100,Geometric GO,Local adaptation,0.989626,0.03717264532663913,0.006756003753333639,0.0023978982281905752,0.003781211273443795,0.013578284508435238
s100,100,Geometric GO,Local adaptation,0.857683,0.06418556304479364,0.007565284033864474,0.014427761162817309,0.00757950967561046,0.006042592800460899
s100,100,Geometric GO,Local adaptation,0.788159,0.16113067309173967,0.018898038022948833,0.00866472757592413,0.010098947301831767,0.017995562632827
s100,100,Geometric GO,Local adaptation,0.968064,0.03341731701590261,0.006437797383588492,0.014776885293580615,0.004096460739103109,0.004015419084251082
s100,100,Geometric GO,Local adaptation,0.855099,0.11242660936338487,0.016267078625288183,0.009371387250437397,0.014798456538686739,0.013550547259145713
s100,100,Geometric GO,Local adaptation,0.857701,0.09949752082237148,0.012512403964787332,0.0083822114321983,0.031064206695139904,0.007248363393161281
s100,100,Geometric GO,Local adaptation,0.822844,0.09127424419521968,0.012060184507559552,0.008013124205432483,0.014675185586773654,0.0086460723889023
s100,100,Geometric GO,Local adaptation,0.8683,0.06880514285407237,0.011322134599092497,0.018268825775820455,0.010245106830935364,0.009288454186404844
s100,100,Geometric GO,Local adaptation,0.875508,0.19042686902617256,0.022098283512250752,0.017364137698946368,0.011891030852324734,0.01669025854081014
s100,100,Geometric GO,Local adaptation,0.928,0.10592424427493374,0.01849804634514915,0.008408408708598703,0.01102176919041386,0.009122198779418856
s100,100,Geometric GO,Local adaptation,0.865609,0.06739524360760568,0.017036203317350992,0.005060427758725538,0.005972932829174775,0.0051789386594798086
s100,100,Geometric GO,Local adaptation,0.981793,0.05037505582841384,0.0061191646854016095,0.015970206958862383,0.0026186790545025497,0.004120419442285909
s100,100,Geometric GO,Local adaptation,0.707205,0.15585973765364786,0.0200948090252885,0.010634048773285172,0.0066563401943283695,0.013425487277514607
s100,100,Geometric GO,Local adaptation,0.771882,0.12516494584755428,0.016060749225750463,0.006713369337958909,0.009865046738718446,0.014308616973089622
s100,100,Geometric GO,Local adaptation,0.789733,0.10748308201675487,0.019734493946878647,0.007305975344739526,0.016068436111646982,0.01459786899548119
s100,100,Geometric GO,Local adaptation,0.865134,0.07810766130043569,0.013164071623635058,0.005469937544092791,0.004238810563431977,0.014941483627886224
s100,100,Geometric GO,Local adaptation,0.984367,0.009770710228218626,0.004535986763258238,0.003204139095739055,0.0034920821255170955,0.0012115004623946017
s100,100,Geometric GO,Local adaptation,0.982531,0.02621288650768239,0.005491582832056198,0.0025225217372454633,0.005173493926151557,0.0027541977818394676
s100,100,Geometric GO,Local adaptation,0.888052,0.0916839982140748,0.011499159945907375,0.012092856257442395,0.01629470759938136,0.010426173071120707
s100,100,Geometric GO,Local adaptation,0.885261,0.10513138822026363,0.01280391681837502,0.010875652315297236,0.015845485131982164,0.009620373594740762
s100,100,Geometric GO,Local adaptation,0.980139,0.00863939755471344,0.02199372586921416,0.0012776716203801407,8.381193180180519e-4,0.007673587891487148
s100,100,Geometric GO,Local adaptation,0.919867,0.04632377652867481,0.006774822296265407,0.0070299063017908925,0.008383941767982586,0.0035597638647659985
s100,100,Geometric GO,Local adaptation,0.842874,0.06418556304479364,0.01324366016773841,0.0073106746751403825,0.005163810483529278,0.006128973120241989
s100,100,Geometric GO,Local adaptation,0.925097,0.04214290813802544,0.013128416151759598,0.006072500394299295,0.012363829792974096,0.0028130991699894105
s100,100,Geometric GO,Local adaptation,0.977514,0.0011762757647453398,0.00793282765180309,0.005339345108973192,3.6628296623745534e-4,0.0011898669714766352
s100,100,Geometric GO,Local adaptation,0.980985,0.013384809888228941,0.003710318505613592,0.002215659225019156,0.005276475799327082,0.0013243730958269438
s100,100,Geometric GO,Local adaptation,0.976678,0.023612522413917463,0.007233276190821615,0.0015040408879373715,0.0016261960171975683,0.0025698473689194476
s100,100,Geometric GO,Local adaptation,0.790687,0.09202231825615992,0.014615915175601938,0.015494729145145518,0.011177295066140756,0.007379282247744507
s100,100,Geometric GO,Local adaptation,0.917702,0.04214290813802544,0.005694291961576428,0.008263774771442882,0.005831015025843932,0.003620516540289864
s100,100,Geometric GO,Local adaptation,0.97969,0.008035422809985843,0.0017003141761357532,0.006612691572454811,5.26134611264867e-4,0.004959490409954495
s100,100,Geometric GO,Local adaptation,0.895556,0.05675413654928115,0.008019098447143786,0.006755176688315415,0.00749350253133039,0.00978909554696148
s100,100,Geometric GO,Local adaptation,0.977261,0.023612522413917463,0.0057445035902428145,0.006204726521492416,0.005213749933567561,0.006963057900022547
s100,100,Geometric GO,Local adaptation,0.967853,0.023612522413917463,0.0278646301548117,0.005316477514821341,0.0025551422305961843,0.005181277473565592
s100,100,Geometric GO,Local adaptation,0.891904,0.19042686902617256,0.02816005597589399,0.009405374740771924,0.01061608087819851,0.014012133573751596
s100,100,Geometric GO,Local adaptation,0.974149,0.023612522413917463,0.003732260449959928,0.002653889976549351,0.003251725781885439,0.0035911177942833114
s100,100,Geometric GO,Local adaptation,0.975451,0.0011762757647453398,0.010752221625570992,0.0026327184879528305,0.004021740307657957,0.005592406338978049
s100,100,Geometric GO,Local adaptation,0.979834,0.00863939755471344,0.002809285348513416,5.337517182750124e-4,0.0029238021754234987,0.0013319130816148636
s100,100,Geometric GO,Local adaptation,0.894559,0.16666253692536231,0.023067393359685044,0.019874711466064926,0.008867587921638402,0.013004862578809373
