model,seed,QTLs,current_fitness,future_fitness,causal_offset,causal_counfounded_offset,empirical_offset,empirical_counfounded_offset,causal_random_1_offset,causal_random_6_offset,causal_random_11_offset,causal_random_16_offset,causal_random_21_offset,causal_random_26_offset,causal_random_31_offset,causal_random_36_offset,causal_random_41_offset,causal_random_46_offset,causal_random_51_offset,causal_random_56_offset,causal_random_61_offset,causal_random_66_offset
m4.1,s100,100,0.984853,0.908072,0.17039878405354483,0.22931247194101217,0.016837190341957384,0.03108643120114404,0.017129192656548498,0.03337603039215967,0.039265578513487755,0.052615357206319616,0.07520425626611783,0.08508381360706227,0.08648690446442074,0.1214791119965875,0.13992500056845503,0.17579991369830686,0.19101483665881197,0.23276006057876797,0.24361197050150427,0.27903053459207383
m4.1,s100,100,0.996383,0.978339,0.03919130861860122,0.12222712535125875,0.0038725130970091344,0.027486577532341374,0.003914484288988327,0.008252958441555472,0.01110052921592165,0.013670678891421185,0.019648556487120307,0.03393461171963261,0.03782374383865737,0.03833089929883239,0.03953743657223066,0.04276280445430157,0.0894522895645246,0.11823186440564581,0.17755667043858256,0.2609067472913677
m4.1,s100,100,0.99975,0.909109,0.0775803794310459,0.18804970424044948,0.00766575666919861,0.03972505116247402,0.007608232646419778,0.018859160195988316,0.019629987920641693,0.0285062432685046,0.04112329379135265,0.0535833074811529,0.058816995162393367,0.0756472674088984,0.094580287648729,0.19981503677635698,0.21672609442223514,0.22341738041159082,0.275219259337813,0.3622048283356282
m4.1,s100,100,0.999904,0.573529,0.4896416383165039,0.6244272453449174,0.04838173881036755,0.081005460877247,0.0508429858341518,0.05874309071741361,0.06206875780265227,0.07100520653339255,0.0847429346851618,0.0887159266264632,0.10145517364597233,0.1063852619101095,0.12817196531803188,0.15375118997753673,0.1719196894675484,0.18998654737495538,0.2736478186965463,0.3043614887891029
m4.1,s100,100,0.987086,0.801466,0.1148903003857141,0.21712651735166427,0.0113523688961951,0.03638934945721108,0.011725704576425897,0.015759012928076514,0.02618830934997411,0.03291252185389528,0.04153528424829809,0.056038097455868734,0.07354210494647047,0.09449025010042673,0.11034816642277696,0.13723321433854033,0.15565841498935715,0.18129031289538697,0.20885415245170422,0.3021761473521642
m4.1,s100,100,0.985381,0.99517,0.002423898049405808,0.003192432409815058,2.3950659656421294e-4,4.977600428996115e-4,0.008513226418187256,0.015506469325508214,0.05026325772125604,0.06040904894291743,0.08862265010616614,0.10494287399508201,0.10769590012936128,0.11686760327208752,0.11521767498329277,0.11918289712377199,0.12283409079909147,0.17038143495432004,0.2864385252823454,0.30800623007141736
m4.1,s100,100,0.998364,0.984517,0.006449763086543285,0.021423529905931035,6.373043642995451e-4,0.004878625495474362,0.006351056141787258,0.019495281117722998,0.02973409816510045,0.037365375362814375,0.055310424978326646,0.07204675053334723,0.07800469061964907,0.08351149387283095,0.09941816714858936,0.11716791452987099,0.12305522059532796,0.18794215912827977,0.29175271708258155,0.29865178880051046
m4.1,s100,100,0.99888,0.756998,0.2847215216502296,0.28125671136024694,0.028133478070889596,0.02861763615553792,0.027927779880065905,0.0311860205105047,0.042815791975707604,0.06170930463865132,0.07365312430684179,0.07113811969863983,0.08200824712468976,0.09189936586564203,0.0989931853418858,0.12026052983253718,0.1568950663064663,0.17205169735381154,0.22718477189267786,0.2667031998869894
m4.1,s100,100,0.996782,0.984964,0.029256372269933027,0.18582122123234207,0.0028908369937031752,0.046021934789504185,0.0028449264029887992,0.006274057183168189,0.01962507164386392,0.03320572153023057,0.06057843975173849,0.06342888451350016,0.06812932733207978,0.09959471618188212,0.10354031625335497,0.12434974349346455,0.13515330692612884,0.1487893866833654,0.2223095513628437,0.21524101144802324
m4.1,s100,100,0.969013,0.436654,0.4857177551619166,0.5363379910149587,0.04799401792421014,0.06981312228981595,0.04736800201141558,0.07035698509926935,0.07137983518379758,0.09753134808558267,0.12234444981814824,0.12695419577800435,0.13474953415111307,0.14150103174656428,0.15264315901843659,0.2254993029415151,0.25443347918073467,0.2610249853562708,0.3413127543980976,0.33704111967510403
