file,method,climate_change_rate,generation_since,causal2empirical_mean,causal2empirical_std,causal2neglog_mean,causal2neglog_std,empirical2neglog_mean,empirical2neglog_std
steps/msprime/thyme_500_n5.tree,rda,0.2,1,0.700649288720472,0.14522398608272244,0.09328747575535498,0.11005528415839187,0.23970114548350346,0.087994601169724
steps/msprime/thyme_500_n5.tree,rona,0.2,1,0.6297347538961774,0.2059130969175878,0.12290336288341122,0.09770338749343775,0.2292932127886373,0.053738902337862306
steps/msprime/thyme_500_n5.tree,geometric_default,0.2,1,0.9110557442772382,0.0753484619413294,0.1878462758575707,0.06867455977999877,0.24437074962428765,0.07710615784304324
steps/msprime/thyme_500_n5.tree,geometric_high,0.2,1,0.9731159911593086,0.03051492929716053,0.29704729297464294,0.08341181315978884,0.2929133065661242,0.07960892753734428
steps/msprime/thyme_500_n5.tree,gradient_forest,0.2,1,0.3055666753029074,0.21155897450477906,0.3812385109851751,0.11306960469447519,0.08671579638149189,0.08326652231771921
steps/msprime/thyme_500_n5.tree,rda,0.2,0,0.9544099398209301,0.04216566145225404,-0.02274826622543018,0.08625038965863324,0.01588352288976884,0.09064712201732054
steps/msprime/thyme_500_n5.tree,rona,0.2,0,0.977424063724383,0.015621185069248068,0.02283085344297727,0.10801706640024374,0.04758665607573774,0.09462686445620053
steps/msprime/thyme_500_n5.tree,geometric_default,0.2,0,0.9824213219936493,0.02212320828289708,0.027464637565992333,0.1038710382456323,-0.0076278857960461795,0.08382982761738383
steps/msprime/thyme_500_n5.tree,geometric_high,0.2,0,0.8225367715458287,0.16647571185700305,0.23191633995202757,0.04571635470006878,0.19387341381054252,0.05157654287093554
steps/msprime/thyme_500_n5.tree,gradient_forest,0.2,0,0.4992030347045503,0.4193160980958385,0.3013846776118855,0.07725583695441032,0.18251591767020256,0.15488899841786108
steps/msprime/thyme_500_n5.tree,rda,0.2,2,0.4582815629440595,0.3673513450722612,0.015262281988076965,0.026151077655970117,0.07632488702577254,0.0657743885035144
steps/msprime/thyme_500_n5.tree,rona,0.2,2,0.6380056959157452,0.25525535986393577,0.08006698988958143,0.0307689358916079,0.07448391532709361,0.06420830085514992
steps/msprime/thyme_500_n5.tree,geometric_default,0.2,2,0.7533323564044195,0.26085755114587544,0.09101707325435585,0.01749470405922081,0.07831573792512452,0.05190999751384322
steps/msprime/thyme_500_n5.tree,geometric_high,0.2,2,0.7918799392038227,0.0728492554561083,0.19929247930159538,0.08242682556754037,0.19006331031078005,0.04419564055779858
steps/msprime/thyme_500_n5.tree,gradient_forest,0.2,2,0.3334880508713322,0.156083825695412,0.19062310618164616,0.05293187099419982,0.11360704094549404,0.08841237084373996
steps/msprime/thyme_500_n5.tree,rda,0.2,0,0.956295984455774,0.05743892979940819,0.12183010766796931,0.07309219244280322,0.1340698413358273,0.07690870137903086
steps/msprime/thyme_500_n5.tree,rona,0.2,0,0.9625879540074116,0.04005608866980927,0.09341835620525132,0.061188838440781296,0.11431082934531048,0.04761092478052015
steps/msprime/thyme_500_n5.tree,geometric_default,0.2,0,0.9735817052237816,0.016289550495112076,0.11054875287351167,0.08170723069126112,0.14002495370305004,0.08994180616089406
steps/msprime/thyme_500_n5.tree,geometric_high,0.2,0,0.5960142935121466,0.3409560773874039,0.3019342213349786,0.08855475821573983,0.20491943487229158,0.11305773219200359
steps/msprime/thyme_500_n5.tree,gradient_forest,0.2,0,0.7040098582061971,0.2997599544032601,0.3562965531069138,0.055083119272233645,0.2171912099648891,0.15405850115804048
steps/msprime/thyme_500_n5.tree,rda,0.2,0,0.8170368456135881,0.20429281468609536,0.15536168066759742,0.08191341090219649,0.07374658835933187,0.1422791192980278
steps/msprime/thyme_500_n5.tree,rona,0.2,0,0.924233875444424,0.07090730169979587,0.11576495631924325,0.10220184491253045,0.055156986603914396,0.12075136893798653
steps/msprime/thyme_500_n5.tree,geometric_default,0.2,0,0.9838784697922358,0.017031935754911742,0.07325908933999539,0.12177151326157529,0.0676352455975344,0.13359101300226697
steps/msprime/thyme_500_n5.tree,geometric_high,0.2,0,0.7672675126739057,0.28840615216028637,0.32064413896062793,0.09353937480320176,0.19881334687214902,0.1729646472333924
steps/msprime/thyme_500_n5.tree,gradient_forest,0.2,0,nan,nan,0.4075817112623791,0.05938063129643674,nan,nan
steps/msprime/thyme_500_n5.tree,rda,0.2,3,0.415042935794975,0.1899974103834813,0.014355556337855268,0.10772036814402532,0.04759061537998005,0.0896426171942334
steps/msprime/thyme_500_n5.tree,rona,0.2,3,0.6661473500115065,0.1455890311262841,0.06063769650177368,0.0862518965942091,0.10136539772454571,0.0808365916153618
steps/msprime/thyme_500_n5.tree,geometric_default,0.2,3,0.612675982545975,0.15115377117212245,0.04767275770722504,0.039601014203872874,0.14901753273097212,0.08429447639022525
steps/msprime/thyme_500_n5.tree,geometric_high,0.2,3,0.7791490676431334,0.1163759078984664,0.1624895584421187,0.11216260299901568,0.1759117589671772,0.09238692204864306
steps/msprime/thyme_500_n5.tree,gradient_forest,0.2,3,0.1112340555979809,0.2536469521160951,0.11775079605067414,0.05207129270232458,0.021465456465466444,0.09203576934601222
steps/msprime/thyme_500_n5.tree,rda,0.2,2,0.8508366930261321,0.10489094746896742,0.10332098859432821,0.051437878970485004,0.07560420451480845,0.093994356812964
steps/msprime/thyme_500_n5.tree,rona,0.2,2,0.90046229542797,0.04570836145555432,0.13567060278721738,0.05984733821641606,0.08686235808356459,0.10805636707742555
