id,longitude,latitude,time,mean_2m_air_temperature,minimum_2m_air_temperature,maximum_2m_air_temperature,dewpoint_2m_temperature,total_precipitation,surface_pressure,mean_sea_level_pressure,u_component_of_wind_10m,v_component_of_wind_10m,site_id
197901,3.7538484682437105,43.78621807614775,1979-01-01,274.5472412109375,264.8764343261719,283.6895446777344,270.6720886230469,0.23353761434555054,95554.53125,101418.71875,1.1227858066558838,-1.3634828329086304,319
197902,3.7538484682437105,43.78621807614775,1979-02-01,278.5769958496094,270.33929443359375,286.78033447265625,274.0123291015625,0.07474854588508606,95227.40625,101014.234375,1.3006377220153809,-1.4727439880371094,319
197903,3.7538484682437105,43.78621807614775,1979-03-01,280.9025573730469,271.3807373046875,290.5383605957031,275.9724426269531,0.1386631429195404,95456.453125,101215.5078125,1.5464162826538086,-0.9711840152740479,319
197904,3.7538484682437105,43.78621807614775,1979-04-01,281.75628662109375,272.5885314941406,292.7425231933594,275.41278076171875,0.0998929962515831,95592.890625,101348.6875,1.598677396774292,-1.6855556964874268,319
197905,3.7538484682437105,43.78621807614775,1979-05-01,286.2380065917969,274.9008483886719,298.50982666015625,280.0077209472656,0.09724811464548111,96085.3984375,101781.0625,0.40426310896873474,-0.21996307373046875,319
197906,3.7538484682437105,43.78621807614775,1979-06-01,291.38140869140625,281.86834716796875,299.8282470703125,285.6076354980469,0.0696621984243393,96095.6640625,101716.21875,0.9735087752342224,-1.0989742279052734,319
197907,3.7538484682437105,43.78621807614775,1979-07-01,294.14495849609375,283.3577575683594,305.73199462890625,285.23193359375,0.022292762994766235,96215.265625,101814.140625,0.8447577357292175,-1.4326257705688477,319
197908,3.7538484682437105,43.78621807614775,1979-08-01,292.00592041015625,282.03204345703125,303.7200622558594,285.26983642578125,0.08540138602256775,95929.5703125,101533.5078125,1.5631228685379028,-1.4592065811157227,319
197909,3.7538484682437105,43.78621807614775,1979-09-01,289.3785400390625,278.16351318359375,298.51446533203125,283.84808349609375,0.08855494111776352,96263.5546875,101911.1015625,0.5411237478256226,-0.8171244859695435,319
197910,3.7538484682437105,43.78621807614775,1979-10-01,285.5028991699219,275.9849853515625,296.0716552734375,283.51397705078125,0.5459088087081909,95598.0,101261.9140625,-0.7622845768928528,0.01119634136557579,319
197911,3.7538484682437105,43.78621807614775,1979-11-01,280.18310546875,270.3089904785156,290.8343811035156,275.01470947265625,0.02040020376443863,96004.953125,101779.9296875,1.8854973316192627,-1.9202345609664917,319
197912,3.7538484682437105,43.78621807614775,1979-12-01,278.67840576171875,263.8301696777344,289.63592529296875,274.54498291015625,0.06894364207983017,96021.5234375,101829.5390625,1.8699110746383667,-1.1940191984176636,319
198001,3.7538484682437105,43.78621807614775,1980-01-01,276.6321716308594,267.3189697265625,286.29876708984375,273.3327331542969,0.06573724746704102,95784.7734375,101637.28125,0.891456663608551,-1.2094972133636475,319
198002,3.7538484682437105,43.78621807614775,1980-02-01,280.3425598144531,272.01025390625,287.7098388671875,276.0494384765625,0.08383657038211823,96358.640625,102178.7578125,0.8306664824485779,-0.6586284637451172,319
198003,3.7538484682437105,43.78621807614775,1980-03-01,280.2291259765625,272.3699645996094,293.15740966796875,275.19879150390625,0.11500880867242813,95395.546875,101161.1796875,1.564504623413086,-1.1768463850021362,319
198004,3.7538484682437105,43.78621807614775,1980-04-01,282.2655029296875,273.995361328125,292.84027099609375,274.39923095703125,0.07942149043083191,95914.4453125,101681.6875,0.7511913776397705,-2.1958601474761963,319
198005,3.7538484682437105,43.78621807614775,1980-05-01,285.51348876953125,278.1261901855469,294.3518981933594,280.151123046875,0.16353879868984222,95499.1796875,101168.171875,0.8034664392471313,-1.0465420484542847,319
198006,3.7538484682437105,43.78621807614775,1980-06-01,289.5328063964844,281.6222839355469,300.490234375,283.34869384765625,0.03586334362626076,95917.6328125,101557.046875,1.8266347646713257,-1.3036423921585083,319
198007,3.7538484682437105,43.78621807614775,1980-07-01,291.9627380371094,283.51300048828125,305.3895263671875,283.6931457519531,0.04338327422738075,95920.5625,101530.8203125,1.4210671186447144,-1.2790234088897705,319
198008,3.7538484682437105,43.78621807614775,1980-08-01,293.9497985839844,282.60894775390625,305.76226806640625,286.232666015625,0.12120277434587479,96082.4921875,101675.0625,1.1303298473358154,-1.4517464637756348,319
198009,3.7538484682437105,43.78621807614775,1980-09-01,290.6814270019531,281.9345703125,300.9076232910156,285.8743591308594,0.24509337544441223,96383.9140625,102020.0234375,0.478124737739563,-0.4102093577384949,319
198010,3.7538484682437105,43.78621807614775,1980-10-01,284.47625732421875,274.53485107421875,297.60113525390625,279.9627990722656,0.1065012663602829,95744.21875,101434.8828125,1.4609681367874146,-1.2234095335006714,319
198011,3.7538484682437105,43.78621807614775,1980-11-01,279.1717834472656,268.71630859375,289.3271789550781,275.51171875,0.11965122073888779,95858.578125,101661.4921875,0.7887771725654602,-1.6984366178512573,319
198012,3.7538484682437105,43.78621807614775,1980-12-01,275.5741271972656,260.3343505859375,287.3849792480469,270.3083190917969,0.028852753341197968,96354.4296875,102239.1171875,1.9303618669509888,-2.124824285507202,319
198101,3.7538484682437105,43.78621807614775,1981-01-01,276.89617919921875,269.343505859375,284.9154052734375,271.3446960449219,0.043774738907814026,96421.9375,102311.1640625,2.2724499702453613,-2.350046396255493,319
198102,3.7538484682437105,43.78621807614775,1981-02-01,276.54638671875,269.5148620605469,288.9419250488281,271.3466796875,0.06899259984493256,96064.2734375,101929.7265625,0.8933771252632141,-1.2360115051269531,319
